Short Name,Platform,In Production,Execution pattern,Burstiness,Trigger types,Workflow Coordination,Is Latency Relevant?,Number of Distinct Functions,Data Volume (per execution),Workflow Structure,Workflow Size,Cost/Performance Tradeoff,Function Runtime,Resource Bounds,Locality Requirements,Workflow Internal Parallelism,Programming Languages,Function Upgrade Frequency,Usage of External Services,Domain,Application Type,Motivation,Open Source
IndexLarge,[Reviewer 4] Other: Private Cloud | [Reviewer 1] Other,No,[Reviewer 4] Scheduled | [Reviewer 1] On-demand,Yes,Manual,[Reviewer 4] Workflow engine | [Reviewer 1] Event,[Reviewer 4] For complete use case | [Reviewer 1] Not important,8,> 1 GB,[Reviewer 4] Complex Workflow | [Reviewer 1] Unknown,Small (2-10),Performance-focused,[Reviewer 4] Unknown | [Reviewer 1] Long (min+),[Reviewer 4] Unknown | [Reviewer 1] Hybrid,Edge,Unknown,Python,Unknown,[Reviewer 4] Storage | [Reviewer 1] nan,Scientific computing,Scientifc Workload,,No
Serverless Election,AWS,No,[Reviewer 3] On-demand | [Reviewer 5] High-volume on-demand,Yes,HTTP request,Event,[Reviewer 3] For parts of use case | [Reviewer 5] For complete use case,4,< 1 MB,Chain,Small (2-10),[Reviewer 3] Unknown | [Reviewer 5] Performance-focused,"Short (ms, s)",Unknown,Regional,No,Ruby,[Reviewer 3] Unknown | [Reviewer 5] Rarely,"[Reviewer 3] Databases, Storage, Messaging, CDN, DNS, API gateway | [Reviewer 5] Route 53, DynamoDB, S3, CloudFront, CloudWatch, KMS, SQS, and X-Ray",Public authority,Business-critical workloads,,https://github.com/tylerpearson/serverless-election-aws
Expedia - CI/CD Platform,AWS,Yes,On-demand,No,"[Reviewer 2] HTTP request, cloud event | [Reviewer 4] HTTP request",Event,Not important,4,< 1 MB,Loops/Conditional branches,Small (2-10),Cost-focused,"Short (ms, s)",Unknown,None,[Reviewer 2] Low | [Reviewer 4] No,Unknown,Unknown,"[Reviewer 2] API Gateway, SNS, Elasticsearch, Simple Email Service, DynamoDB | [Reviewer 4] API Gateway, Messaging, Elasticsearch, Email, Database",WebServices,Operations,"Cost, NoOps",No
Smart ITS Sensor,AWS,No,High-volume on-demand,Yes,HTTP request,Not applicable,[Reviewer 4] For complete use case | [Reviewer 7] Not applicable,1,[Reviewer 4] < 1 MB | [Reviewer 7] Unknown,Not applicable,Not applicable,[Reviewer 4] Undefined | [Reviewer 7] Unknown,"[Reviewer 4] Short (ms, s) | [Reviewer 7] Unknown",Unknown,[Reviewer 4] None | [Reviewer 7] Edge,Not applicable,Unknown,Unknown,Cloud Database,IoT,Business-critical workloads,"[Reviewer 4] Cost, NoOps | [Reviewer 7] -",No
NN Training,AWS,Unknown,On-demand,Yes,Unknown,Event,Not important,[Reviewer 1] Unknown | [Reviewer 5] Unkown,Unknown,Complex Workflow,Small (2-10),[Reviewer 1] Cost-focused | [Reviewer 5] Unknown,Long (min+),[Reviewer 1] Hybrid | [Reviewer 5] Unknown,[Reviewer 1] Specific region | [Reviewer 5] None,Extreme,Python,Unknown,[Reviewer 1] Cloud Database | [Reviewer 5] Cloud Storage,[Reviewer 1] Scientific computing | [Reviewer 5] Cross-Domain,Other: Machine Learning,Cost,No
Serverless Edge,[Reviewer 7] Other: Private Cloud | [Reviewer 1] Other,No,[Reviewer 7] High-volume on-demand | [Reviewer 1] On-demand,Yes,HTTP request,Not applicable,[Reviewer 7] For complete use case | [Reviewer 1] For parts of use case,[Reviewer 7] Unknown | [Reviewer 1] 3,[Reviewer 7] Unknown | [Reviewer 1] < 10 MB,Not applicable,Not applicable,[Reviewer 7] Performance-focused | [Reviewer 1] Unknown,"Short (ms, s)",[Reviewer 7] Unknown | [Reviewer 1] Hybrid,Edge,Not applicable,Python,Unknown,"[Reviewer 7] Cloud Storage; Cloud API Gateway; Cloud Database; PubSub | [Reviewer 1] Cloud Database, ",IoT,[Reviewer 7] Unknown | [Reviewer 1] Side-task,[Reviewer 7] Performance | [Reviewer 1] nan,No
High Troughput serverless,AWS,No,On-demand,Yes,Cloud event,Event,Not important,2,< 1 GB,Bag of tasks,Medium (10-1000),Undefined,"Short (ms, s)",CPU,None,High,Unknown,Unknown,"Cloud API Gateway, Cloud Storage",[Reviewer 3] Other: Medical | [Reviewer 5] Other: Medical,Business-critical workloads,Scalability,https://github.com/grycap/scar/tree/master/examples
Bioinformatics,AWS,No,On-demand,No,Cloud event,Event,Not important,2,< 1 MB,Bag of tasks,Medium (10-1000),Undefined,Long (min+),Unknown,None,High,Java,Unknown,Cloud Storage,Scientific computing,Scientifc Workload,"NoOps, Scalability",No
Costless,AWS,No,On-demand,[Reviewer 7] Unknown | [Reviewer 5] Yes,[Reviewer 7] Cloud event | [Reviewer 5] HTTP request,Workflow engine,[Reviewer 7] Unknown | [Reviewer 5] For complete use case,5,< 10 MB,Loops/Conditional branches,Small (2-10),[Reviewer 7] Cost-focused | [Reviewer 5] Unknown,"Short (ms, s)",[Reviewer 7] CPU | [Reviewer 5] Unknown,[Reviewer 7] None | [Reviewer 5] Specific region,Low,JavaScript,Unknown,[Reviewer 7] Cloud Storage; Cloud API Gateway; Cloud Database; PubSub | [Reviewer 5] Cloud Storage,WebServices,Business-critical workloads,[Reviewer 7] - | [Reviewer 5] nan,No
Unsupervised K-Means,AWS,No,On-demand,No,Manual,Unknown,For parts of use case,Unknown,< 1 MB,Unknown,Unknown,Unknown,Long (min+),CPU,None,Unknown,Java,Unknown,"Cloud Storage, Cloud Database, Cloud Authentication",Cross-Domain,Unknown,-,No
NN servering,AWS,No,High-volume on-demand,Yes,HTTP request,Not applicable,Not important,2,< 100 MB,Not applicable,Not applicable,[Reviewer 7] Unknown | [Reviewer 2] Cost-focused,"Short (ms, s)",[Reviewer 7] Unknown | [Reviewer 2] Hybrid,None,Not applicable,Python,Unknown,"Cloud API Gateway, Cloud Database",Cross-Domain,Side-task,"[Reviewer 7] NoOps | [Reviewer 2] Scalability, NoOps, Maintability, Cost",[Reviewer 7]  https://github.com/castorini/ serverless-inference | [Reviewer 2] Yes
NASA,AWS,[Reviewer 2] Unknown | [Reviewer 6] Yes,High-volume on-demand,[Reviewer 2] No | [Reviewer 6] Yes,Cloud event,Not applicable,[Reviewer 2] For complete use case | [Reviewer 6] Not applicable,1,< 1 GB,Not applicable,Not applicable,[Reviewer 2] Performance-focused | [Reviewer 6] Cost-focused,"[Reviewer 2] Short (ms, s) | [Reviewer 6] Long (min+)",[Reviewer 2] CPU | [Reviewer 6] Unknown,[Reviewer 2] None | [Reviewer 6] Unknown,Not applicable,C,Unknown,Cloud Storage,Scientific computing,[Reviewer 2] Scientifc Workload | [Reviewer 6] Business-critical workloads,"[Reviewer 2] Performance | [Reviewer 6] Cost, Performance",No
Mindmup,AWS,Yes,High-volume on-demand,Yes,HTTP request,Workflow engine,For complete use case,[Reviewer 7] 2 | [Reviewer 5] Unknown ,< 10 MB,[Reviewer 7] Chain | [Reviewer 5] Dynamic workflow,Small (2-10),Cost-focused,"Short (ms, s)",Unknown,None,[Reviewer 7] Low | [Reviewer 5] No,Unknown,Unknown,Cloud Storage,WebServices,Business-critical workloads,"[Reviewer 7] NoOps | [Reviewer 5] Development Speed, Maintainability, Cost",No
Sequence comparison,"AWS, Google",No,On-demand,Yes,Manual,Workflow engine,[Reviewer 2] For complete use case | [Reviewer 6] Not applicable,1,< 1 GB,Scatter,Medium (10-1000),Performance-focused,"Short (ms, s)",CPU,None,Extreme,Python,Unknown,"Cloud Storage, Cloud Queue, Cloud VM, Cloud Pub/Sub",Scientific computing,[Reviewer 2] Scientifc Workload | [Reviewer 6] Business-critical workloads,"[Reviewer 2] Cost, Performance | [Reviewer 6] Cost, Scaleability",Yes
Yubl,AWS,Yes,High-volume on-demand,Yes,"[Reviewer 4] HTTP request, Cloud Event | [Reviewer 6] HTTP request",Unknown,For parts of use case,[Reviewer 4] 170 | [Reviewer 6] 170+,Unknown,Unknown,Unknown,[Reviewer 4] Undefined | [Reviewer 6] Cost-focused,Unknown,Unknown,[Reviewer 4] Multi-region | [Reviewer 6] None,Unknown,Unknown,Often,Unknown,WebServices,Business-critical workloads,"[Reviewer 4] Cost, NoOps, Scalability, Simplify Development | [Reviewer 6] Cost",No
High Troughput serverless,AWS,No,On-demand,Yes,Cloud event,Event,Not important,2,[Reviewer 3] < 1 GB | [Reviewer 5] > 1 GB,Bag of tasks,Medium (10-1000),Undefined,"Short (ms, s)",CPU,None,[Reviewer 3] High | [Reviewer 5] Extreme,Unknown,Unknown,"Cloud API Gateway, Cloud Storage",[Reviewer 3] Cross-Domain | [Reviewer 5] IoT,[Reviewer 3] Side-task | [Reviewer 5] Business-critical workloads,Scalability,https://github.com/grycap/scar/tree/master/examples
